condition,n,acc,wilson_lo,wilson_hi
close,10736,0.3326192250372578,0.3237680757303853,0.34159011726195837
split,10116,0.34786476868327404,0.33864244172685537,0.35720259995838216
far,9148,0.3434630520332313,0.33379946637653135,0.35325805437426494
