bin,mean_len
"(4.999, 9.0]",1.5668852459016394
"(9.0, 13.0]",1.5368492224475998
"(13.0, 17.0]",1.5336029869321717
"(17.0, 24.0]",1.5376852727846104
"(24.0, 30.0]",1.5309139784946237
"(30.0, 36.0]",1.5302872966424368
"(36.0, 43.0]",1.530656149157404
"(43.0, 53.0]",1.5292579274272637
"(53.0, 67.0]",1.5216197666437885
"(67.0, 111.0]",1.5258389261744967
