entropy,rt_ms
-0.0,883.6914633843923
-0.0,859.3270737030787
-0.0,929.5020978667261
-0.0,703.5553485882937
-0.0,694.34694307159
-0.0,791.3797993641576
-0.0,798.2441690983695
-0.0,839.6704053171377
-0.0,811.7651332702662
-0.0,727.4445398992563
-0.0,870.9479261167035
-0.0,875.9479586606427
-0.0,849.0289819424074
-0.0,852.63121296436
-0.0,760.2102371603315
-0.0,790.8181773274504
-0.0,752.4528465996117
-0.0,777.3299699516833
-0.0,861.3062228756321
-0.0,672.3130932963653
-0.0,749.9546823793239
-0.0,756.3248035444711
-0.0,788.4606304920824
-0.0,780.1870792586107
-0.0,757.2980563260053
-0.0,807.5004943442773
-0.0,832.7199755562876
-0.0,754.1047970275425
6.008498293898078e-34,789.6959092824674
2.255476351591684e-75,847.5099574478323
-0.0,768.7147426591262
-0.0,645.5770001979213
5.452776135261408e-295,844.1164339039657
-0.0,769.5911674773284
-0.0,878.3632297327979
-0.0,756.4709267948731
-0.0,929.744356935051
-0.0,886.3236755363265
-0.0,887.7437158221156
-0.0,980.3631248456921
-0.0,800.1667266281014
-0.0,848.2485844152175
-0.0,675.7458588092366
-0.0,729.4393621898616
-0.0,837.8442672598644
-0.0,677.0913025366606
-0.0,774.708620567153
-0.0,784.9554787140082
-0.0,853.7089957309628
-0.0,898.3067342575404
1.0873831041740106e-271,849.0147762882989
-0.0,712.3838645754129
-0.0,818.8990667596565
-0.0,853.1730482227147
-0.0,847.4193592883197
-0.0,862.7338967181022
-0.0,659.8251708849876
-0.0,741.2667384839579
-0.0,847.7337572053592
-0.0,679.0326072400173
-0.0,764.8934460922811
7.427581957094069e-159,781.4060200498335
-0.0,859.9708185638754
-0.0,685.3506405286726
1.3198560651090873e-265,806.1834774176912
-0.0,738.3349204062793
-0.0,625.1329321121104
-0.0,748.1905180318331
-0.0,743.2759619824577
-0.0,773.7589710721335
-0.0,803.8704714069758
-0.0,881.6509332281775
-0.0,779.2025651275384
-0.0,843.0916178179817
-0.0,772.5801859555779
-0.0,841.0293802178726
-0.0,907.6395096304207
-0.0,852.750680456749
-0.0,795.2751794897158
-0.0,716.5747548790221
-0.0,860.2826806526344
-0.0,730.6368881880047
-0.0,835.9305691031326
3.5864618501994156e-222,786.2886404731618
-0.0,752.0166885396618
-0.0,750.8602838059176
-0.0,791.1388590520843
-0.0,666.7954202277243
-0.0,931.5490160724466
-0.0,789.4898061943927
-0.0,698.2481606500841
-0.0,846.4386502253127
-0.0,820.5163490706007
9.828437488048411e-99,768.8638969375343
-0.0,830.5271343755494
-0.0,745.5292271815619
-0.0,630.7714999883683
-0.0,696.8779445406003
-0.0,791.3200727153404
-0.0,706.8579669280281
-0.0,884.4484585768391
-0.0,836.083955812345
-0.0,866.2590532053416
-0.0,832.3557714074751
-0.0,783.7949245109354
-0.0,903.3062181429639
-0.0,804.9837498460691
-0.0,768.8700924557551
-0.0,719.0777473373315
-0.0,808.0816938964537
-0.0,824.7215064919819
-0.0,684.3164665058364
-0.0,827.6575515777376
-0.0,875.7446167212813
-0.0,866.5295984948889
-0.0,887.7709399004416
-0.0,734.783727332176
-0.0,804.6432636050145
-0.0,609.4820372600742
-0.0,665.5288576557255
-0.0,710.6163653838512
-0.0,620.6317182444975
-0.0,921.6233382599353
-0.0,796.4033831355114
-0.0,778.3746335766315
-0.0,793.341677965241
-0.0,863.6793490475461
-0.0,793.0998752939519
-0.0,885.9573490429356
-0.0,782.466718273983
-0.0,889.1231669349422
-0.0,820.3299575740264
-0.0,892.0703489884078
-0.0,786.6358678220771
-0.0,665.936333388372
-0.0,698.767841593691
-0.0,708.7949283249427
-0.0,834.3643794100315
-0.0,840.9062203106786
-0.0,848.1837739851632
1.3921813912452257e-53,776.6508054914912
-0.0,807.9484918909602
-0.0,797.7192139022918
-0.0,774.9386214555846
-0.0,905.3681751344948
-0.0,843.2403977493989
-0.0,831.6758952326451
-0.0,804.8883322209625
-0.0,947.5874435657925
-0.0,782.8837345785224
-0.0,729.0697889415733
1.273135401263797e-237,776.8841098897809
-0.0,927.9865296905915
-0.0,824.3179580764262
-0.0,954.357528453892
-0.0,693.7487624308129
-0.0,881.2995323882895
-0.0,845.9156920926177
-0.0,789.6484025886676
-0.0,772.5236527958613
-0.0,613.6861918422242
-0.0,759.1006184690727
-0.0,753.5067695899882
-0.0,654.5927147226902
-0.0,739.5866523437275
-0.0,864.0213936870573
-0.0,805.5504178765375
-0.0,645.2698729391911
1.0908189512339538e-52,726.0697972567492
-0.0,854.5612423629955
-0.0,825.3941582524478
-0.0,962.819951816251
3.310331019009878e-283,855.7223632468022
-0.0,731.1801443702593
-0.0,692.8648792875751
7.284160049115314e-267,892.0756944668962
-0.0,919.9093319138619
-0.0,833.6186233906196
-0.0,863.0140326917245
-0.0,885.958726318392
-0.0,733.9356014279864
-0.0,737.9473957840898
-0.0,727.3178812060453
-0.0,701.4613651148431
-0.0,1018.3747427276173
-0.0,760.047143722864
-0.0,773.456307432848
-0.0,809.0055821022552
-0.0,884.0062837455946
-0.0,871.3732705811303
-0.0,820.7260048675153
-0.0,757.1041000346701
-0.0,971.1479509941074
-0.0,771.4901170900134
-0.0,782.5627429310407
-0.0,800.5476472299908
-0.0,697.4909711230071
-0.0,801.3564662920905
-0.0,873.8110427928351
-0.0,846.957227140644
-0.0,830.8545370825072
-0.0,806.7550958195308
