drift,acc,acc_lo,acc_hi,ll,bic,n,k_params,label
beta_const_1.0,0.8923653056293791,0.8833219818080651,0.9007623594946625,-19276.358816105407,124052.40766888326,57946,1827,const β=1.0
beta_linear_1.0_to_1.5,0.8923653056293791,0.8833219818080651,0.9007623594946625,-20242.885325959935,125985.46068859231,57946,1827,linear 1.0→1.5
beta_linear_1.5_to_1.0,0.8923653056293791,0.8833219818080651,0.9007623594946625,-19274.2142299198,124048.11849651203,57946,1827,linear 1.5→1.0
beta_randomwalk_sigma0.2,0.8923653056293791,0.8833219818080651,0.9007623594946625,-26433.068553265708,138365.82714320387,57946,1827,random walk σ=0.2
