config,acc,acc_lo,acc_hi,ll,bic,n,k_params,delta_bic
df>=2_no_drop_top,0.8923653056293791,0.8833219818080651,0.9007623594946625,-19276.358816105407,124052.40766888326,57946,1827,41688.17759882077
df>=3_no_drop_top,0.892365305629379,0.8834082982249127,0.9008460425598794,-19218.555456337035,101030.52906094975,57946,1337,18666.298990887255
df>=5_no_drop_top,0.8924343354157319,0.8833219818080651,0.9008460425598794,-19168.54093190901,82364.23007006249,57946,941,0.0
df>=2_drop_top_5pct,0.8924688503089083,0.8833219818080651,0.9008460425598794,-19959.12921870322,121160.27867903895,57946,1736,38796.04860897646
df>=2_drop_top_10pct,0.8925033652020846,0.8833219818080651,0.9008460425598794,-19937.295492214682,116849.57699711464,57946,1645,34485.346927052145
