tau,acc,acc_lo,acc_hi,ll,bic,n_uncertain_total
0.05,0.8920374141442032,0.883149352082212,0.9006786752689356,-19283.57123836772,210212.16807100282,36
0.1,0.8915196907465571,0.8820273593346766,0.9006786752689356,-19290.79486856303,210675.7943791252,93
0.2,0.8925033652020847,0.8834082982249127,0.9009297244633271,-19287.698266025724,210866.14093609003,317
0.3,0.8925033652020847,0.8834082982249127,0.9009297244633271,-19251.153870585185,210811.75891219772,1426
