config,acc,acc_lo,acc_hi,ll,bic,n,k_params,delta_bic
RSA_like,0.8923653056293791,0.8833219818080651,0.9007623594946625,-19276.358816105407,124052.40766888326,57946,1827,42928.298691245625
Ablation_no_len_norm,0.8864977737893902,0.8782311129750727,0.8958230463469089,-19981.406137114347,125462.50231090114,57946,1827,44338.393333263506
Ablation_vocab_cap_0.5,0.8924515928623201,0.8833219818080651,0.9008460425598794,-19166.070172480384,81124.10897763763,57946,914,0.0
Ablation_noise_0.1,0.8923307907362027,0.8833219818080651,0.9009297244633271,-19276.42049280246,124052.53102227736,57946,1827,42928.42204463972
