amp,acc,acc_lo,acc_hi,ll,bic,n,k_params
0.0,0.8923653056293791,0.8833219818080651,0.9007623594946625,-19276.358816105407,124099.19592237192,57946,1828
0.25,0.6575777447968798,0.6401461301155298,0.6719704252953114,-38660.17127390736,162866.82083797583,57946,1828
0.5,0.47095571739205466,0.45547514423387975,0.48530229885554627,-104211.04162044713,293968.56153105537,57946,1828
1.0,0.3937631588030235,0.38209214466105146,0.4054655601357665,-266017.6352529275,617581.7487960161,57946,1828
2.0,0.3864632588962137,0.37506968631009047,0.39747801857983067,-587617.4199313845,1260781.3181529301,57946,1828
