alpha,condition,n,accuracy,loglik,length,entropy,IG
0.25,split,581730,0.3332731679645196,-1.0986122886681446,2.8466298798411636,1.0986122886681446,2.220446049250313e-16
0.25,close,623940,0.3328429015610475,-1.0986122886681466,3.3987883450331764,1.0986122886681466,2.220446049250313e-16
0.25,far,532710,0.33220138536915017,-1.0986122886681455,1.8535788703046685,1.0986122886681455,2.220446049250313e-16
0.125,close,623940,0.3328429015610475,-1.0986122886681464,3.3987883450331764,1.0986122886681464,2.220446049250313e-16
0.125,far,532710,0.33220138536915017,-1.0986122886681455,1.8535788703046685,1.0986122886681455,2.220446049250313e-16
0.125,split,581730,0.3332731679645196,-1.0986122886681446,2.8466298798411636,1.0986122886681446,2.220446049250313e-16
0.0625,split,581730,0.3332731679645196,-1.0986122886681446,2.8466298798411636,1.0986122886681446,0.0
0.0625,far,532710,0.33220138536915017,-1.0986122886681455,1.8535788703046685,1.0986122886681455,0.0
0.0625,close,623940,0.3328429015610475,-1.0986122886681464,3.3987883450331764,1.0986122886681464,0.0
